,article_id,sentence_no
0,90170,0
1,90170,1
2,90170,2
3,90170,3
4,90170,4
5,90170,5
6,90170,6
7,90170,7
8,90170,8
9,90170,9
10,245146,10
11,245146,11
12,245146,12
13,245146,13
14,245146,14
15,245146,15
16,245146,16
17,245146,17
18,245146,18
19,245146,19
20,245146,20
21,245146,21
22,245146,22
23,245146,23
24,245146,24
25,348260,25
26,348260,26
27,348260,27
28,348260,28
29,348260,29
30,348260,30
31,348260,31
32,348260,32
33,348260,33
34,348260,34
35,348260,35
36,348260,36
37,348260,37
38,348260,38
39,348260,39
